Designator,Mid X,Mid Y,Rotation,Layer
C1,237.4,-110.1,0.0,top
C2,211.190003,-110.650001,180.0,top
C4,115.061999,-95.4932,90.0,top
C5,126.187199,-95.4932,90.0,top
C6,184.5,-110.8,180.0,top
J1,130.0788,-141.833598,180.0,top
J10,152.166,-73.3044,0.0,top
J11,171.1252,-73.3044,0.0,top
J12,190.2768,-73.3044,0.0,top
J13,209.1744,-73.2536,0.0,top
J14,228.1736,-73.2028,0.0,top
J15,246.9404,-73.2028,0.0,top
J16,245.1624,-142.8496,0.0,top
J17,143.8656,-120.9548,90.0,top
J18,143.8656,-105.7148,90.0,top
J2,144.2012,-141.833599,180.0,top
J3,158.192798,-141.799599,180.0,top
J4,172.213598,-141.748799,180.0,top
J5,186.031198,-141.833599,180.0,top
J6,199.797998,-141.799599,180.0,top
J7,214.021998,-141.799599,180.0,top
J8,228.703198,-141.799599,180.0,top
J9,133.2976,-73.3044,0.0,top
R1,183.794409,-94.7928,90.0,top
R10,211.683603,-94.7928,90.0,top
R11,214.833203,-94.7928,90.0,top
R12,217.931997,-94.7928,90.0,top
R13,221.234003,-94.7928,90.0,top
R14,224.434403,-94.7928,90.0,top
R15,227.584003,-94.7928,90.0,top
R16,230.733603,-94.7928,90.0,top
R17,236.169203,-94.7928,90.0,top
R18,239.268009,-94.7928,90.0,top
R19,242.468409,-94.7928,90.0,top
R2,186.994797,-94.792798,90.0,top
R20,245.618009,-94.7928,90.0,top
R21,248.767603,-94.7928,90.0,top
R22,251.917209,-94.7928,90.0,top
R23,255.117609,-94.7928,90.0,top
R24,258.267209,-94.7928,90.0,top
R3,190.195204,-94.792798,90.0,top
R4,193.395604,-94.792798,90.0,top
R5,196.697604,-94.792798,90.0,top
R6,199.999604,-94.792798,90.0,top
R7,203.250804,-94.792798,90.0,top
R8,209.042001,-131.368804,0.0,top
R9,208.584803,-94.7928,90.0,top
U1,196.392791,-118.668793,90.0,top
U2,220.7768,-118.719597,90.0,top
U3,246.024395,-118.821198,90.0,top
